Id,Tweet,following,followers,actions,is_retweet,location,Type
10091,It's the everything else that's complicated. #PESummit #PXpic.twitter.com/Jsv6BAFQMl,0,11500,,0,Chicago,Quality
10172,Eren sent a glare towards Mikasa then nodded and stood up to go help his lovely girlfriend @SincerePyrrhic. Once he arrived in the kitchen⎯,0,0,,0,,Quality
7012,I posted a new photo to Facebook http://fb.me/2Be7LiyuJ,0,0,,0,"Scotland, U.K",Quality
3697,#jan Idiot Chelsea Handler Diagnoses Trump With a Disease https://t.co/k8PrqcWTRI https://t.co/dRN35xtSJZ,3319,611,294,0,"Atlanta, Ga",Spam
10740,Pedophile Anthony Weiner is TERRIFIED of Getting Beaten Up in Prison https://t.co/g3bU9Q4gAg,4840,1724,1522,0,Blumberg,Spam
9572,EBMUD ending penalties for excessive water users https://t.co/D5a1FMVMHd,4435,16041,27750,0,UPS,Spam
10792,Big day.  #WeTheNorth #yyz #thesix #sunset #skyline @ The Six https://www.instagram.com/p/BFgrA9gBZay/,0,0,0,0,"Toronto, ON",Quality
11594,"#UPA #scams to the tune of Rs 12 lakh Crore #Shame
""Con""gress - Conning India since Independence!
@INCIndia @IYCpic.twitter.com/0ZHSYhX5c2",0,193000,,0,Mumbai,Quality
12594,"**MISSING**
A male tabby cat has gone missing in the N10 area of #London. Please RT!
https://mylostbox.com/item/missing-tabby-cat-named-buttons/ …pic.twitter.com/3Msg3NmZ0x",39000,46900,47,0,UK,Quality
10963,Paraguayan man linked to Hezbollah faces drug charges in Miami https://t.co/zBLCgoqO2I https://t.co/vZHbCMx28S,9025,20165,6331,0,"Cape Town, South africa",Spam
10778,Tagged by @CFOAlbaAsturias @AlbaSweetCFpic.twitter.com/sTfpjwrFSC,0,0,,0,"siempre, rct",Quality
4174,"""WE ORDERED THE SAME THING, WHY YOU EATING OFF MY PLATE?!""

""BECAUSE I WANT TO, YOURS MIGHT TASTE BETTER""pic.twitter.com/0n1cUA8aPv",0,0,,0,,Quality
5401,"#NowPlaying: De La Soul feat. Roc Marciano ""Property of https://t.co/KZmwHSA5nn"" #music https://t.co/f3LFKzB1Ct",780,897,4792,1,UK,Spam
7636,The Guardian: Trump's Tweets Keep U.S. Manufacturers on Their Toes #MAGA #AmericaFirst #PresidentTrump  https://t.co/V0sQskFolF https://t.co/jhxaxLDowy,1893,1651,3564,1,"Mumbai, Maharashtra",Spam
6908,Terrorists. https://t.co/RQkQXroDNB,7981,12815,13601,1,"Austin, Texas",Spam
5265,Eastside Ivo (@eastside_ivo) came through Real Talk on Sunday. Sorry we couldn't be more… https://www.instagram.com/p/BFgq0pRCzfS/,0,0,0,0,,Quality
10433,Boston bombing survivor s charity gives 1st artificial limb #DemnDebate #DemDebate #tcot,85,73,434,0,South MY,Spam
1643,Lovelyz - Bookmark  https://twitter.com/shaytyen/status/726671432202117120/video/1 …,0,0,,0,LovelyzRP,Quality
2445,Happy #TideTuesday everyone I live you  @TheTideAustin @TheTideDrew @TheTideLevi @TheTideNate,0,0,259,0,em,Quality
5841,"normal person: 30% used phone memory space.
when i met bangtan: no more phone memory space.

Reason:
-60% bts shit.
-40% bts handsome faceu.",0,0,,0,"strong power, thank you!",Quality
12562,[#MONSTA_X] #TheCLAN #더클랜 #로스트 #ALL_IN #컴백 Here >> https://youtu.be/wNxPGbk-gwA https://twitter.com/OfficialMonstaX/status/732586501964365824 …,0,0,0,0,"N, City",Quality
4941,Oh damn!! https://t.co/KgGPYXogqf https://t.co/aLrDErjv2U,856,1093,6219,1,Bangkok,Spam
5200,Amin http://fb.me/7pXHVvKo0,0,0,0,0,,Quality
11869,Is Hyperloop the future of travel? http://fb.me/3QdMfJDWC,0,0,0,0,Birmingham,Quality
12385,'it is fear of going into debt that most puts people from poorer backgrounds off going to university.' G Osbornehttp://www.mirror.co.uk/news/uk-news/george-osborne-letter-13-years-7989350 …,0,0,,0,UK,Quality
12239,I was really putting my money on the hookers,0,0,,0,"Denver, CO",Quality
3481,@misslyndaleigh good afternoon lynda hope your well xxxx,0,0,0,0,"Swindon, England",Quality
7237,#walterscott The public executions of Black men and boys is a public health emergency. Bias jurors. Bias system. No Justice.,456,821,5797,1,Eastern Shore of Virginia,Spam
8219,Turkey declares curfew in Diyarbakir area to fight Kurdish militants  #world #news,14242,13235,28238,0,new york city,Spam
9597,Jerry Sandusky denies child molestation charges in court https://t.co/YaAlPIhnve,7155,16929,33170,0,prob at a concert,Spam
1662,IS THAT KIHYUN AND HYUNGWON,0,0,,0,"151206, 180301-03",Quality
2348,'Gun for hire': how Jeff Sessions used his prosecuting power to target Democrats - the guardian https://t.co/6zO230G4Y8,2651,2703,3775,1,"Cotswolds, England",Spam
7341,"Drake tell girls stuff like ""you finer than yo fine cousin"" and wonder why he always having relationship problems",0,195000,,0,"Los Angeles, CA",Quality
2995,DICEpic.twitter.com/sC8opTlO97,0,2580000,,0,,Quality
4152,hopefully the super characters will be in it but I doubt it,0,0,,1,Scotland,Quality
11601,Sevilla have won eight trophies in nine years at a £160m transfer profit… Monchi is Mr Moneyball behind their succ… http://ift.tt/1TVnnDg,0,0,0,0,,Quality
12365,"Senior year wouldnt be a blast without you guys.  
Thanks for the memories and lets make it out there (-:pic.twitter.com/wAtQnv5mgR",0,0,,0,single and ready to mingle,Quality
11451,amen to that hail to faking it,0,0,,0,KARMY'S  ❤️,Quality
4490,damn...,0,0,0,0,Dallas,Quality
12203,@playbingobash Gems are sparkling everywhere! in #BingoBash!!! http://bash.gg/1Y35AQ0,0,0,0,0,brunei,Quality
12308,All I wanna do lately is sleep.,0,0,2,0,Michigan/Wisconsin,Quality
